QUDTarget,statementFirst,treatment,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
first,first,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,observation,Themaglin,Denoden,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,first,avoidance,Themaglin,Denoden,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,first,observation,Themaglin,Denoden,I was surprised to see Denoden in yesterday's sample.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,first,avoidance,Themaglin,Denoden,I am surprised that you think Denoden should be removed from the samples.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,second,observation,Themaglin,Denoden,I was surprised to see Themaglin in yesterday's sample.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,second,avoidance,Themaglin,Denoden,I am surprised that you think Themaglin should be removed from the samples.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,second,observation,Themaglin,Denoden,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,second,avoidance,Themaglin,Denoden,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,first,observation,Themaglin,Denoden,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,first,avoidance,Themaglin,Denoden,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,first,observation,Themaglin,Denoden,I was surprised to see Denoden in yesterday's sample.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,first,avoidance,Themaglin,Denoden,I am surprised that you think Denoden should be removed from the samples.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,second,observation,Themaglin,Denoden,I was surprised to see Themaglin in yesterday's sample.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,second,avoidance,Themaglin,Denoden,I am surprised that you think Themaglin should be removed from the samples.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,second,observation,Themaglin,Denoden,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,second,avoidance,Themaglin,Denoden,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,first,observation,Themaglin,Flembers,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,first,avoidance,Themaglin,Flembers,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,first,observation,Themaglin,Flembers,I was surprised to see Flembers in yesterday's sample.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,first,avoidance,Themaglin,Flembers,I am surprised that you think Flembers should be removed from the samples.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,second,observation,Themaglin,Flembers,I was surprised to see Themaglin in yesterday's sample.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,second,avoidance,Themaglin,Flembers,I am surprised that you think Themaglin should be removed from the samples.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,second,observation,Themaglin,Flembers,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,second,avoidance,Themaglin,Flembers,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,first,observation,Themaglin,Flembers,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,first,avoidance,Themaglin,Flembers,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,first,observation,Themaglin,Flembers,I was surprised to see Flembers in yesterday's sample.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,first,avoidance,Themaglin,Flembers,I am surprised that you think Flembers should be removed from the samples.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,second,observation,Themaglin,Flembers,I was surprised to see Themaglin in yesterday's sample.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,second,avoidance,Themaglin,Flembers,I am surprised that you think Themaglin should be removed from the samples.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,second,observation,Themaglin,Flembers,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,second,avoidance,Themaglin,Flembers,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,first,observation,Themaglin,Agoriv,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,first,avoidance,Themaglin,Agoriv,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,first,observation,Themaglin,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,first,avoidance,Themaglin,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,second,observation,Themaglin,Agoriv,I was surprised to see Themaglin in yesterday's sample.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,second,avoidance,Themaglin,Agoriv,I am surprised that you think Themaglin should be removed from the samples.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,second,observation,Themaglin,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,second,avoidance,Themaglin,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,first,observation,Themaglin,Agoriv,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,first,avoidance,Themaglin,Agoriv,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,first,observation,Themaglin,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,first,avoidance,Themaglin,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,second,observation,Themaglin,Agoriv,I was surprised to see Themaglin in yesterday's sample.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,second,avoidance,Themaglin,Agoriv,I am surprised that you think Themaglin should be removed from the samples.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,second,observation,Themaglin,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,second,avoidance,Themaglin,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,first,observation,Themaglin,Ceflar,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,first,avoidance,Themaglin,Ceflar,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,first,observation,Themaglin,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,first,avoidance,Themaglin,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,second,observation,Themaglin,Ceflar,I was surprised to see Themaglin in yesterday's sample.,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,second,avoidance,Themaglin,Ceflar,I am surprised that you think Themaglin should be removed from the samples.,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,second,observation,Themaglin,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,second,avoidance,Themaglin,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,first,observation,Themaglin,Ceflar,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,first,avoidance,Themaglin,Ceflar,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,first,observation,Themaglin,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,first,avoidance,Themaglin,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,second,observation,Themaglin,Ceflar,I was surprised to see Themaglin in yesterday's sample.,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,second,avoidance,Themaglin,Ceflar,I am surprised that you think Themaglin should be removed from the samples.,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,second,observation,Themaglin,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,second,avoidance,Themaglin,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,first,observation,Rebosen,Themaglin,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,avoidance,Rebosen,Themaglin,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,observation,Rebosen,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,avoidance,Rebosen,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,observation,Rebosen,Themaglin,I was surprised to see Rebosen in yesterday's sample.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,avoidance,Rebosen,Themaglin,I am surprised that you think Rebosen should be removed from the samples.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,observation,Rebosen,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,avoidance,Rebosen,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,observation,Rebosen,Themaglin,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,avoidance,Rebosen,Themaglin,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,observation,Rebosen,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,avoidance,Rebosen,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,observation,Rebosen,Themaglin,I was surprised to see Rebosen in yesterday's sample.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,avoidance,Rebosen,Themaglin,I am surprised that you think Rebosen should be removed from the samples.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,observation,Rebosen,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,avoidance,Rebosen,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,observation,Rebosen,Denoden,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,first,avoidance,Rebosen,Denoden,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,first,observation,Rebosen,Denoden,I was surprised to see Denoden in yesterday's sample.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,first,avoidance,Rebosen,Denoden,I am surprised that you think Denoden should be removed from the samples.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,second,observation,Rebosen,Denoden,I was surprised to see Rebosen in yesterday's sample.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,second,avoidance,Rebosen,Denoden,I am surprised that you think Rebosen should be removed from the samples.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,second,observation,Rebosen,Denoden,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,second,avoidance,Rebosen,Denoden,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,first,observation,Rebosen,Denoden,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,first,avoidance,Rebosen,Denoden,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,first,observation,Rebosen,Denoden,I was surprised to see Denoden in yesterday's sample.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,first,avoidance,Rebosen,Denoden,I am surprised that you think Denoden should be removed from the samples.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,second,observation,Rebosen,Denoden,I was surprised to see Rebosen in yesterday's sample.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,second,avoidance,Rebosen,Denoden,I am surprised that you think Rebosen should be removed from the samples.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,second,observation,Rebosen,Denoden,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,second,avoidance,Rebosen,Denoden,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,first,observation,Rebosen,Flembers,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,first,avoidance,Rebosen,Flembers,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,first,observation,Rebosen,Flembers,I was surprised to see Flembers in yesterday's sample.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,first,avoidance,Rebosen,Flembers,I am surprised that you think Flembers should be removed from the samples.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
