QUDTarget,statementFirst,treatment,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
first,second,observation,Rebosen,Flembers,I was surprised to see Rebosen in yesterday's sample.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,second,avoidance,Rebosen,Flembers,I am surprised that you think Rebosen should be removed from the samples.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,second,observation,Rebosen,Flembers,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,second,avoidance,Rebosen,Flembers,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,first,observation,Rebosen,Flembers,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,first,avoidance,Rebosen,Flembers,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,first,observation,Rebosen,Flembers,I was surprised to see Flembers in yesterday's sample.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,first,avoidance,Rebosen,Flembers,I am surprised that you think Flembers should be removed from the samples.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,second,observation,Rebosen,Flembers,I was surprised to see Rebosen in yesterday's sample.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,second,avoidance,Rebosen,Flembers,I am surprised that you think Rebosen should be removed from the samples.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,second,observation,Rebosen,Flembers,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,second,avoidance,Rebosen,Flembers,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,first,observation,Rebosen,Agoriv,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,first,avoidance,Rebosen,Agoriv,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,first,observation,Rebosen,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,first,avoidance,Rebosen,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,second,observation,Rebosen,Agoriv,I was surprised to see Rebosen in yesterday's sample.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,second,avoidance,Rebosen,Agoriv,I am surprised that you think Rebosen should be removed from the samples.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,second,observation,Rebosen,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,second,avoidance,Rebosen,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,first,observation,Rebosen,Agoriv,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,first,avoidance,Rebosen,Agoriv,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,first,observation,Rebosen,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,first,avoidance,Rebosen,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,second,observation,Rebosen,Agoriv,I was surprised to see Rebosen in yesterday's sample.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,second,avoidance,Rebosen,Agoriv,I am surprised that you think Rebosen should be removed from the samples.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,second,observation,Rebosen,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,second,avoidance,Rebosen,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,first,observation,Rebosen,Ceflar,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,first,avoidance,Rebosen,Ceflar,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,first,observation,Rebosen,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,first,avoidance,Rebosen,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,second,observation,Rebosen,Ceflar,I was surprised to see Rebosen in yesterday's sample.,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,second,avoidance,Rebosen,Ceflar,I am surprised that you think Rebosen should be removed from the samples.,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,second,observation,Rebosen,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,second,avoidance,Rebosen,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,first,observation,Rebosen,Ceflar,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,first,avoidance,Rebosen,Ceflar,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,first,observation,Rebosen,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,first,avoidance,Rebosen,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,second,observation,Rebosen,Ceflar,I was surprised to see Rebosen in yesterday's sample.,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,second,avoidance,Rebosen,Ceflar,I am surprised that you think Rebosen should be removed from the samples.,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,second,observation,Rebosen,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,second,avoidance,Rebosen,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,first,observation,Denoden,Themaglin,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,first,avoidance,Denoden,Themaglin,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,first,observation,Denoden,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,first,avoidance,Denoden,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,second,observation,Denoden,Themaglin,I was surprised to see Denoden in yesterday's sample.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,second,avoidance,Denoden,Themaglin,I am surprised that you think Denoden should be removed from the samples.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,second,observation,Denoden,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,second,avoidance,Denoden,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,first,observation,Denoden,Themaglin,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,first,avoidance,Denoden,Themaglin,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,first,observation,Denoden,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,first,avoidance,Denoden,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,second,observation,Denoden,Themaglin,I was surprised to see Denoden in yesterday's sample.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,second,avoidance,Denoden,Themaglin,I am surprised that you think Denoden should be removed from the samples.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,second,observation,Denoden,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,second,avoidance,Denoden,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,first,observation,Denoden,Rebosen,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,first,avoidance,Denoden,Rebosen,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,first,observation,Denoden,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,first,avoidance,Denoden,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,second,observation,Denoden,Rebosen,I was surprised to see Denoden in yesterday's sample.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,second,avoidance,Denoden,Rebosen,I am surprised that you think Denoden should be removed from the samples.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,second,observation,Denoden,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,second,avoidance,Denoden,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,first,observation,Denoden,Rebosen,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,first,avoidance,Denoden,Rebosen,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,first,observation,Denoden,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,first,avoidance,Denoden,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,second,observation,Denoden,Rebosen,I was surprised to see Denoden in yesterday's sample.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,second,avoidance,Denoden,Rebosen,I am surprised that you think Denoden should be removed from the samples.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,second,observation,Denoden,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,second,avoidance,Denoden,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,first,observation,Denoden,Flembers,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,first,avoidance,Denoden,Flembers,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,first,observation,Denoden,Flembers,I was surprised to see Flembers in yesterday's sample.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,first,avoidance,Denoden,Flembers,I am surprised that you think Flembers should be removed from the samples.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,second,observation,Denoden,Flembers,I was surprised to see Denoden in yesterday's sample.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,second,avoidance,Denoden,Flembers,I am surprised that you think Denoden should be removed from the samples.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,second,observation,Denoden,Flembers,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,second,avoidance,Denoden,Flembers,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,first,observation,Denoden,Flembers,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,first,avoidance,Denoden,Flembers,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,first,observation,Denoden,Flembers,I was surprised to see Flembers in yesterday's sample.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,first,avoidance,Denoden,Flembers,I am surprised that you think Flembers should be removed from the samples.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,second,observation,Denoden,Flembers,I was surprised to see Denoden in yesterday's sample.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,second,avoidance,Denoden,Flembers,I am surprised that you think Denoden should be removed from the samples.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,second,observation,Denoden,Flembers,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,second,avoidance,Denoden,Flembers,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,first,observation,Denoden,Agoriv,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,first,avoidance,Denoden,Agoriv,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,first,observation,Denoden,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,first,avoidance,Denoden,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,second,observation,Denoden,Agoriv,I was surprised to see Denoden in yesterday's sample.,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,second,avoidance,Denoden,Agoriv,I am surprised that you think Denoden should be removed from the samples.,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,second,observation,Denoden,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,second,avoidance,Denoden,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,first,observation,Denoden,Agoriv,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,first,avoidance,Denoden,Agoriv,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,first,observation,Denoden,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,first,avoidance,Denoden,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,second,observation,Denoden,Agoriv,I was surprised to see Denoden in yesterday's sample.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,second,avoidance,Denoden,Agoriv,I am surprised that you think Denoden should be removed from the samples.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,second,observation,Denoden,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,second,avoidance,Denoden,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,first,observation,Denoden,Ceflar,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,first,avoidance,Denoden,Ceflar,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,first,observation,Denoden,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,first,avoidance,Denoden,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,second,observation,Denoden,Ceflar,I was surprised to see Denoden in yesterday's sample.,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,second,avoidance,Denoden,Ceflar,I am surprised that you think Denoden should be removed from the samples.,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,second,observation,Denoden,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,second,avoidance,Denoden,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,first,observation,Denoden,Ceflar,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,first,avoidance,Denoden,Ceflar,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,first,observation,Denoden,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,first,avoidance,Denoden,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,second,observation,Denoden,Ceflar,I was surprised to see Denoden in yesterday's sample.,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
