QUDTarget,statementFirst,treatment,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
first,second,avoidance,Denoden,Ceflar,I am surprised that you think Denoden should be removed from the samples.,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,second,observation,Denoden,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,second,avoidance,Denoden,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,first,observation,Flembers,Themaglin,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,first,avoidance,Flembers,Themaglin,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,first,observation,Flembers,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,first,avoidance,Flembers,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,second,observation,Flembers,Themaglin,I was surprised to see Flembers in yesterday's sample.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,second,avoidance,Flembers,Themaglin,I am surprised that you think Flembers should be removed from the samples.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,second,observation,Flembers,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,second,avoidance,Flembers,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,first,observation,Flembers,Themaglin,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,first,avoidance,Flembers,Themaglin,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,first,observation,Flembers,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,first,avoidance,Flembers,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,second,observation,Flembers,Themaglin,I was surprised to see Flembers in yesterday's sample.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,second,avoidance,Flembers,Themaglin,I am surprised that you think Flembers should be removed from the samples.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,second,observation,Flembers,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,second,avoidance,Flembers,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,first,observation,Flembers,Rebosen,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,first,avoidance,Flembers,Rebosen,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,first,observation,Flembers,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,first,avoidance,Flembers,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,second,observation,Flembers,Rebosen,I was surprised to see Flembers in yesterday's sample.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,second,avoidance,Flembers,Rebosen,I am surprised that you think Flembers should be removed from the samples.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,second,observation,Flembers,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,second,avoidance,Flembers,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,first,observation,Flembers,Rebosen,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,first,avoidance,Flembers,Rebosen,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,first,observation,Flembers,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,first,avoidance,Flembers,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,second,observation,Flembers,Rebosen,I was surprised to see Flembers in yesterday's sample.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,second,avoidance,Flembers,Rebosen,I am surprised that you think Flembers should be removed from the samples.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,second,observation,Flembers,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,second,avoidance,Flembers,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,first,observation,Flembers,Denoden,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,first,avoidance,Flembers,Denoden,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,first,observation,Flembers,Denoden,I was surprised to see Denoden in yesterday's sample.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,first,avoidance,Flembers,Denoden,I am surprised that you think Denoden should be removed from the samples.,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,second,observation,Flembers,Denoden,I was surprised to see Flembers in yesterday's sample.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,second,avoidance,Flembers,Denoden,I am surprised that you think Flembers should be removed from the samples.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,second,observation,Flembers,Denoden,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,second,avoidance,Flembers,Denoden,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,first,observation,Flembers,Denoden,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,first,avoidance,Flembers,Denoden,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,first,observation,Flembers,Denoden,I was surprised to see Denoden in yesterday's sample.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,first,avoidance,Flembers,Denoden,I am surprised that you think Denoden should be removed from the samples.,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,second,observation,Flembers,Denoden,I was surprised to see Flembers in yesterday's sample.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,second,avoidance,Flembers,Denoden,I am surprised that you think Flembers should be removed from the samples.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,second,observation,Flembers,Denoden,I was surprised to see Denoden in yesterday's sample.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,second,avoidance,Flembers,Denoden,I am surprised that you think Denoden should be removed from the samples.,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,first,observation,Flembers,Agoriv,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,first,avoidance,Flembers,Agoriv,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,first,observation,Flembers,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,first,avoidance,Flembers,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,second,observation,Flembers,Agoriv,I was surprised to see Flembers in yesterday's sample.,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,second,avoidance,Flembers,Agoriv,I am surprised that you think Flembers should be removed from the samples.,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,second,observation,Flembers,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,second,avoidance,Flembers,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,first,observation,Flembers,Agoriv,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,first,avoidance,Flembers,Agoriv,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,first,observation,Flembers,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,first,avoidance,Flembers,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,second,observation,Flembers,Agoriv,I was surprised to see Flembers in yesterday's sample.,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,second,avoidance,Flembers,Agoriv,I am surprised that you think Flembers should be removed from the samples.,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,second,observation,Flembers,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,second,avoidance,Flembers,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,first,observation,Flembers,Ceflar,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,first,avoidance,Flembers,Ceflar,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,first,observation,Flembers,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,first,avoidance,Flembers,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,second,observation,Flembers,Ceflar,I was surprised to see Flembers in yesterday's sample.,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,second,avoidance,Flembers,Ceflar,I am surprised that you think Flembers should be removed from the samples.,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,second,observation,Flembers,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,second,avoidance,Flembers,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,first,observation,Flembers,Ceflar,I was surprised to see Flembers in yesterday's sample.,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,first,avoidance,Flembers,Ceflar,I am surprised that you think Flembers should be removed from the samples.,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,first,observation,Flembers,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,first,avoidance,Flembers,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,second,observation,Flembers,Ceflar,I was surprised to see Flembers in yesterday's sample.,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,second,avoidance,Flembers,Ceflar,I am surprised that you think Flembers should be removed from the samples.,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,second,observation,Flembers,Ceflar,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,second,avoidance,Flembers,Ceflar,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,first,observation,Agoriv,Themaglin,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,first,avoidance,Agoriv,Themaglin,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,first,observation,Agoriv,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,first,avoidance,Agoriv,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,second,observation,Agoriv,Themaglin,I was surprised to see Agoriv in yesterday's sample.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,second,avoidance,Agoriv,Themaglin,I am surprised that you think Agoriv should be removed from the samples.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,second,observation,Agoriv,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,second,avoidance,Agoriv,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,first,observation,Agoriv,Themaglin,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,first,avoidance,Agoriv,Themaglin,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,first,observation,Agoriv,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,first,avoidance,Agoriv,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,second,observation,Agoriv,Themaglin,I was surprised to see Agoriv in yesterday's sample.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,second,avoidance,Agoriv,Themaglin,I am surprised that you think Agoriv should be removed from the samples.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,second,observation,Agoriv,Themaglin,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,second,avoidance,Agoriv,Themaglin,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,first,observation,Agoriv,Rebosen,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,first,avoidance,Agoriv,Rebosen,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,first,observation,Agoriv,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,first,avoidance,Agoriv,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,second,observation,Agoriv,Rebosen,I was surprised to see Agoriv in yesterday's sample.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,second,avoidance,Agoriv,Rebosen,I am surprised that you think Agoriv should be removed from the samples.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,second,observation,Agoriv,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,second,avoidance,Agoriv,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,first,observation,Agoriv,Rebosen,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,first,avoidance,Agoriv,Rebosen,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,first,observation,Agoriv,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,first,avoidance,Agoriv,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,second,observation,Agoriv,Rebosen,I was surprised to see Agoriv in yesterday's sample.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,second,avoidance,Agoriv,Rebosen,I am surprised that you think Agoriv should be removed from the samples.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,second,observation,Agoriv,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,second,avoidance,Agoriv,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,first,observation,Agoriv,Denoden,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,first,avoidance,Agoriv,Denoden,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,first,observation,Agoriv,Denoden,I was surprised to see Denoden in yesterday's sample.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,first,avoidance,Agoriv,Denoden,I am surprised that you think Denoden should be removed from the samples.,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
